kearns,ARPAbet,example,notes
"_","_",,"empty segment"
"p","p","pit",
"b","b","bit",
"t","t","tap",
"d","d","dip",
"k","k","crush",
"g","g","guts",
"f","f","fire",
"v","v","viper",
"T","T","hath",
"D","D","breathe",
"s","s","glass",
"z","z","zing",
"S","S","shoot",
"Z","Z","rouge",
"h","h","hitch",
"tS","C","pinch",
"J","J","jack","dZ in SAMPA"
"m","m","mom",
"n","n","nun",
"N","G","sing",
"l","l","fling",
"r","r","route",
"w","w","whack",
"j","y","yank",
"i","i","sleet",
"I","I","hitch",
"e","e","hate",
"E","E","pen",
"a","a","pot",
"O","O","fawn",
"a","@","map",
"u","u","tomb",
"U","U","book",
"o","o","old",
"V","^","junk",
"ju","Y","muse",
"#","A","bike","aI in SAMPA"
"aU","W","foul",
"OI","O","join",
"A",,"sod","Rounded back vowel, not always distinguished"